4/3/25 19:33:1, Microphone: 3, Temp =  79.01, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.01, GyroZ =  0.49
4/3/25 19:34:17, Microphone: -11, Temp =  79.76, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.80, GyroZ =  0.35

4/3/25 19:34:19, Microphone: -49, Temp =  79.71, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.14, GyroY =  -3.01, GyroZ =  0.28

4/3/25 19:34:20, Microphone: -2, Temp =  79.85, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.80, GyroZ =  0.28

4/3/25 19:34:22, Microphone: 30, Temp =  79.76, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.87, GyroZ =  0.42

4/3/25 19:34:23, Microphone: -5, Temp =  79.78, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.08, GyroZ =  0.42

4/3/25 19:34:25, Microphone: -20, Temp =  79.83, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.08, GyroZ =  0.42

4/3/25 19:34:26, Microphone: 5, Temp =  79.74, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.14, GyroY =  -3.15, GyroZ =  0.42

4/3/25 19:34:28, Microphone: -1, Temp =  79.83, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.01, GyroZ =  0.28

4/3/25 19:34:29, Microphone: -15, Temp =  79.83, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.14, GyroY =  -3.01, GyroZ =  0.42

4/3/25 19:34:31, Microphone: 10, Temp =  79.80, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.14, GyroY =  -3.01, GyroZ =  0.28

4/3/25 19:34:32, Microphone: -44, Temp =  79.92, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.94, GyroZ =  0.42

4/3/25 19:34:34, Microphone: 61, Temp =  79.80, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.01, GyroZ =  0.42

4/3/25 19:34:35, Microphone: -8, Temp =  79.83, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.14, GyroY =  -2.80, GyroZ =  0.28

4/3/25 19:34:37, Microphone: -1, Temp =  79.95, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.01, GyroZ =  0.35

4/3/25 19:34:39, Microphone: -75, Temp =  79.93, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.21, GyroY =  -3.01, GyroZ =  0.42

4/3/25 19:34:40, Microphone: 13, Temp =  79.88, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.14, GyroY =  -2.94, GyroZ =  0.28

4/3/25 19:34:42, Microphone: 37, Temp =  79.85, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  -0.07, GyroY =  -2.87, GyroZ =  0.28

4/3/25 19:34:43, Microphone: 37, Temp =  79.90, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.94, GyroZ =  0.35

4/3/25 19:34:45, Microphone: 44, Temp =  79.95, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.15, GyroZ =  0.35

4/3/25 19:34:46, Microphone: -32, Temp =  79.92, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.87, GyroZ =  0.42

4/3/25 19:34:48, Microphone: 6, Temp =  79.92, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.21, GyroY =  -3.08, GyroZ =  0.35

4/3/25 19:34:49, Microphone: 34, Temp =  79.93, AccX =  -0.03, AccY =  -0.02, AccZ =  1.01, GyroX =  0.07, GyroY =  -2.59, GyroZ =  0.00

4/3/25 19:34:51, Microphone: -47, Temp =  79.93, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.94, GyroZ =  0.35

4/3/25 19:34:52, Microphone: 2, Temp =  80.01, AccX =  -0.03, AccY =  -0.02, AccZ =  1.01, GyroX =  0.00, GyroY =  -3.08, GyroZ =  0.35

4/3/25 19:34:54, Microphone: -7, Temp =  80.03, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.01, GyroZ =  0.42

4/3/25 19:34:55, Microphone: -49, Temp =  79.98, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.87, GyroZ =  0.28

4/3/25 19:34:57, Microphone: -20, Temp =  79.96, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.01, GyroZ =  0.42

4/3/25 19:34:59, Microphone: -18, Temp =  79.97, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.94, GyroZ =  0.28

4/3/25 19:35:0, Microphone: -20, Temp =  79.96, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.01, GyroZ =  0.49

